O*NET-SOC Code,Title,Description,Task ID,Task,Task Type,Incumbents Responding,importance,relevance,frequency_weighted_mean,frequency_response_mass,task_intensity,n_dwa_links,dwa_element_ids,Date,Domain Source
11-1011.00,Chief Executives,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.",8823,"Direct or coordinate an organization's financial or budget activities to fund operations, maximize investments, or increase efficiency.",Core,95.0,4.52,74.44,3.58024197580242,100.00999999999999,3.3646879999999992,1,4.A.4.b.4.h.2,08/2023,Incumbent
11-1011.00,Chief Executives,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.",8824,"Confer with board members, organization officials, or staff members to discuss issues, coordinate activities, or resolve problems.",Core,95.0,4.32,81.71,3.7716771677167724,99.99,3.5298719999999997,1,4.A.4.a.2.c.14,08/2023,Incumbent
11-1011.00,Chief Executives,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.",8827,"Prepare budgets for approval, including those for funding or implementation of programs.",Core,95.0,4.3,93.41,2.5893410658934104,100.01,4.016629999999999,1,4.A.4.b.4.h.4,08/2023,Incumbent
11-1011.00,Chief Executives,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.",8826,"Direct, plan, or implement policies, objectives, or activities of organizations or businesses to ensure continuing operations, to maximize returns on investments, or to increase productivity.",Core,94.0,4.24,97.79,3.9133999999999998,100.0,4.146296,3,4.A.2.b.1.i.1; 4.A.2.b.4.a.1; 4.A.4.b.4.j.39,08/2023,Incumbent
11-1011.00,Chief Executives,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.",8834,"Prepare or present reports concerning activities, expenses, budgets, government statutes or rulings, or other items affecting businesses or program services.",Core,95.0,4.17,92.92,3.5109999999999997,100.0,3.8747640000000003,2,4.A.3.b.6.a.2; 4.A.3.b.6.o.6,08/2023,Incumbent
11-1011.00,Chief Executives,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.",8836,Implement corrective action plans to solve organizational or departmental problems.,Core,94.0,4.14,88.43,3.0663066306630657,99.99000000000001,3.661002,1,4.A.4.a.7.c.1,08/2023,Incumbent
11-1011.00,Chief Executives,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.",8825,"Analyze operations to evaluate performance of a company or its staff in meeting objectives or to determine areas of potential cost reduction, program improvement, or policy change.",Core,94.0,4.13,98.57,3.4367,100.0,4.0709409999999995,1,4.A.2.a.4.g.9,08/2023,Incumbent
11-1011.00,Chief Executives,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.",8828,"Direct or coordinate activities of businesses or departments concerned with production, pricing, sales, or distribution of products.",Core,94.0,4.13,70.43,4.37956204379562,100.00999999999999,2.908759,2,4.A.4.b.4.j.3; 4.A.4.b.4.j.39,08/2023,Incumbent
11-1011.00,Chief Executives,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.",8832,"Direct human resources activities, including the approval of human resource plans or activities, the selection of directors or other high-level staff, or establishment or organization of major departments.",Core,94.0,4.13,75.74,2.5547,100.00000000000001,3.128062,1,4.A.4.b.4.f.4,08/2023,Incumbent
11-1011.00,Chief Executives,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.",8831,Appoint department heads or managers and assign or delegate responsibilities to them.,Core,93.0,4.09,93.14,2.9899999999999993,100.0,3.8094259999999998,2,4.A.4.b.1.f.2; 4.A.4.b.4.j.39,08/2023,Incumbent
11-1011.00,Chief Executives,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.",8843,"Interpret and explain policies, rules, regulations, or laws to organizations, government or corporate officials, or individuals.",Core,95.0,4.09,96.73,3.5949594959495954,99.99,3.956257,1,4.A.4.a.1.b.3,08/2023,Incumbent
11-1011.00,Chief Executives,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.",8830,Review reports submitted by staff members to recommend approval or to suggest changes.,Core,95.0,4.07,96.42,4.1613,100.0,3.9242940000000006,1,4.A.2.a.4.g.12,08/2023,Incumbent
11-1011.00,Chief Executives,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.",8829,"Negotiate or approve contracts or agreements with suppliers, distributors, federal or state agencies, or other organizational entities.",Core,95.0,4.06,80.19,3.0263,100.0,3.2557139999999998,1,4.A.4.a.7.b.4,08/2023,Incumbent
11-1011.00,Chief Executives,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.",8835,Establish departmental responsibilities and coordinate functions among departments and sites.,Core,95.0,3.98,87.04,3.1491,100.0,3.4641920000000006,2,4.A.2.b.4.a.3; 4.A.4.a.2.c.9,08/2023,Incumbent
11-1011.00,Chief Executives,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.",8839,"Deliver speeches, write articles, or present information at meetings or conventions to promote services, exchange ideas, or accomplish objectives.",Core,95.0,3.94,92.7,3.1517,100.0,3.65238,1,4.A.4.a.3.b.3,08/2023,Incumbent
11-1011.00,Chief Executives,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.",8840,"Serve as liaisons between organizations, shareholders, and outside organizations.",Core,95.0,3.92,68.36,3.7055000000000002,100.0,2.6797120000000003,1,4.A.4.a.2.c.9,08/2023,Incumbent
11-1011.00,Chief Executives,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.",8837,"Coordinate the development or implementation of budgetary control systems, recordkeeping systems, or other administrative control processes.",Core,94.0,3.8,72.17,2.7991799179917995,99.99000000000001,2.74246,1,4.A.4.b.4.h.2,08/2023,Incumbent
11-1011.00,Chief Executives,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.",8833,"Preside over, or serve on, boards of directors, management committees, or other governing boards.",Core,94.0,3.79,74.11,2.362563743625637,100.01000000000002,2.808769,1,4.A.4.b.4.b.1,08/2023,Incumbent
11-1011.00,Chief Executives,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.",8849,Attend and participate in meetings of municipal councils or council committees.,Core,94.0,3.59,69.01,2.645235476452354,100.01,2.477459,1,4.A.4.b.1.c.9,08/2023,Incumbent
11-1011.00,Chief Executives,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.",8850,Organize or approve promotional campaigns.,Core,95.0,3.55,82.46,2.5810581058105813,99.98999999999998,2.9273299999999995,1,4.A.4.b.1.e.3,08/2023,Incumbent
