O*NET-SOC Code,Title,Description,ai_exposure_score,workforce_strategy_category,digital_intensity,cognitive_complexity,human_interaction,physical_work
11-1011.00,Chief Executives,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.",0.6532988782271563,Human-Centered Protected,0.7664960316268399,0.8218216159642866,0.7482439887375741,0.22687814594492747
11-1011.03,Chief Sustainability Officers,"Communicate and coordinate with management, shareholders, customers, and employees to address sustainability issues. Enact or oversee a corporate sustainability strategy.",0.6610802145097543,Human-Centered Protected,0.7008423049032185,0.768702549704229,0.6725060347369854,0.15271796183144462
11-1021.00,General and Operations Managers,"Plan, direct, or coordinate the operations of public or private sector organizations, overseeing multiple departments or locations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services. Usually manage through subordinate supervisors. Excludes First-Line Supervisors.",0.6328132263140701,Human-Centered Protected,0.7846909045659535,0.6517404055655505,0.6406935996209907,0.2644848052542327
11-2011.00,Advertising and Promotions Managers,"Plan, direct, or coordinate advertising policies and programs or produce collateral materials, such as posters, contests, coupons, or giveaways, to create extra interest in the purchase of a product or service for a department, an entire organization, or on an account basis.",0.6336276167396535,Mixed / Transitional,0.6834759344521156,0.6681720032997011,0.5692706569793081,0.2478668138138946
11-2021.00,Marketing Managers,"Plan, direct, or coordinate marketing policies and programs, such as determining the demand for products and services offered by a firm and its competitors, and identify potential customers. Develop pricing strategies with the goal of maximizing the firm's profits or share of the market while ensuring the firm's customers are satisfied. Oversee product development or monitor trends that indicate the need for new products and services.",0.6432482628952993,Mixed / Transitional,0.6225282591936243,0.7039358291895454,0.6227780541097163,0.13069298269225593
11-2022.00,Sales Managers,"Plan, direct, or coordinate the actual distribution or movement of a product or service to the customer. Coordinate sales distribution by establishing sales territories, quotas, and goals and establish training programs for sales representatives. Analyze sales statistics gathered by staff to determine sales potential and inventory requirements and monitor the preferences of customers.",0.6798811084894604,Human-Centered Protected,0.7183220267952795,0.7417849324672201,0.6784745066779722,0.06210801862668569
11-2033.00,Fundraising Managers,"Plan, direct, or coordinate activities to solicit and maintain funds for special projects or nonprofit organizations.",0.6323095931865876,Mixed / Transitional,0.7381760501635549,0.6348967364698443,0.5991505561174056,0.2446838577696428
11-3012.00,Administrative Services Managers,"Plan, direct, or coordinate one or more administrative services of an organization, such as records and information management, mail distribution, and other office support services.",0.5328352864399565,Human-Centered Protected,0.7288079290226889,0.6065241525650613,0.6579995762413723,0.545991359586552
11-3013.00,Facilities Managers,"Plan, direct, or coordinate operations and functionalities of facilities and buildings. May include surrounding grounds or multiple facilities of an organization's campus.",0.5152677557567454,Mixed / Transitional,0.6728473595908192,0.6169521055644429,0.6310729281448076,0.5976555139834728
11-3013.01,Security Managers,"Direct an organization's security functions, including physical security and safety of employees and facilities.",0.5887331266605755,Human-Centered Protected,0.7638249424660982,0.7903908482890866,0.7210761026103659,0.47820718150251673
