separation_proxy,age,sex,educ,marst,statefip,metfips,occupation,industry,class_worker,usual_hours,hourly_wage_proxy,annual_wage_proxy,predicted_risk,replacement_cost,expected_attrition_cost,stressed_risk,stressed_expected_cost
0,69,2,92,4,1,26620,52,5080,21,10.0,22.1,11492.0,0.38902450152978324,5746.0,2235.3347857901344,0.46682940183573984,2682.401742948161
0,40,2,81,6,1,33660,3649,7970,21,40.0,26.75,55640.0,0.7454953357239782,27820.0,20739.680239841073,0.8945944028687738,24887.616287809287
0,80,2,73,1,1,26620,230,7870,21,38.0,32.44,64101.43999999999,0.4169260101333028,32050.719999999994,13362.77881149965,0.5003112121599633,16035.334573799577
0,19,1,73,6,1,13820,9620,3570,21,40.0,22.0,45760.0,0.6137893388162834,22880.0,14043.500072116563,0.7365472065795401,16852.200086539877
0,47,1,73,4,1,13820,5240,7080,21,40.0,25.0,52000.0,0.5099492317560779,26000.0,13258.680025658025,0.6119390781072934,15910.416030789629
0,56,1,123,1,1,26620,3330,9590,25,40.0,40.85,84968.0,0.2976334998618819,42484.0,12644.661608132192,0.3571601998342583,15173.593929758628
0,60,2,111,1,1,26620,2310,7860,21,40.0,35.625,74100.0,0.3230943644935929,37050.0,11970.646204487617,0.3877132373923115,14364.775445385141
0,53,1,111,1,1,26620,1106,7380,21,40.0,72.12,150009.6,0.1846874003940231,75004.8,13852.441529073623,0.22162488047282772,16622.92983488835
1,51,2,81,1,1,26620,5810,7580,21,40.0,22.0,45760.0,0.49569359166362337,22880.0,11341.469377263702,0.5948323099963481,13609.763252716444
0,21,1,81,6,1,26620,440,6570,21,40.0,15.0,31200.0,0.479593409575149,15600.0,7481.657189372325,0.5755120914901788,8977.988627246788
0,61,1,92,3,1,33860,140,3570,21,50.0,44.22,114972.0,0.4291075085292047,57486.0,24667.674235309863,0.5149290102350457,29601.209082371835
0,59,1,111,1,1,26620,1530,9590,25,40.0,58.65,121992.0,0.17428949371244987,60996.0,10630.961958484591,0.20914739245493982,12757.154350181509
0,54,2,91,4,1,26620,3255,8191,21,36.0,40.0,74880.0,0.2152592113913895,37440.0,8059.304874493623,0.2583110536696674,9671.165849392348
0,27,2,111,6,1,26620,2310,7860,28,40.0,23.075,47996.0,0.2658494684297472,23998.0,6379.855543377073,0.31901936211569665,7655.8266520524885
1,65,1,111,1,1,13820,20,4670,21,45.0,18.5,43290.0,0.33079931050457984,21645.0,7160.15107587163,0.3969591726054958,8592.181291045956
1,65,2,123,1,1,13820,5000,770,21,40.0,,,0.5846570783827655,,,0.7015884940593186,
0,46,1,73,6,1,13820,9130,6170,21,45.0,27.5,64350.0,0.6686983431635476,32175.0,21515.369191287144,0.8024380117962571,25818.44302954457
0,73,2,111,4,1,13820,5120,7280,21,45.0,32.044444444444444,74984.0,0.4705340926118125,37492.0,17641.264200202073,0.564640911134175,21169.517040242492
0,28,1,123,1,1,33860,800,4270,21,40.0,27.5,57200.0,0.11953844972441714,28600.0,3418.79966211833,0.14344613966930056,4102.559594541996
0,26,2,123,1,1,33860,800,9590,25,40.0,20.0,41600.0,0.382304592158558,20800.0,7951.935516898006,0.4587655105902696,9542.322620277608
1,47,1,73,1,1,13820,9645,5490,21,40.0,17.0,35360.0,0.7013779320580009,17680.0,12400.361838785457,0.8416535184696011,14880.434206542548
1,51,2,73,1,1,13820,5850,6992,21,40.0,21.75,45240.0,0.7380487336368378,22620.0,16694.66235486527,0.8856584803642052,20033.59482583832
0,56,1,73,4,1,13820,4760,5490,21,16.0,12.0,9984.0,0.8908632943939623,4992.0,4447.18956561466,1.0,4992.0
0,42,2,125,4,1,13820,2205,7870,27,40.0,72.125,150020.0,0.14790481523321697,75010.0,11094.340190643605,0.17748577827986037,13313.208228772326
0,38,1,73,1,1,33660,6410,770,21,40.0,20.0,41600.0,0.5854452913676435,20800.0,12177.262060446983,0.7025343496411721,14612.71447253638
0,85,1,20,6,1,33860,8950,7071,21,20.0,18.0,18720.0,0.9658391827762173,9360.0,9040.254750785394,1.0,9360.0
1,63,1,81,1,1,13820,4760,4870,21,27.0,20.0,28080.0,0.7475020730472809,14040.0,10494.929105583824,0.8970024876567371,12593.914926700589
0,59,2,111,1,1,13820,440,1990,21,40.0,26.45,55016.0,0.5447694708115469,27508.0,14985.518603084032,0.6537233649738563,17982.622323700838
0,26,2,92,6,1,13820,3740,9470,28,40.0,7.5,15600.0,0.21435953187588996,7800.0,1672.0043486319416,0.2572314382510679,2006.4052183583299
0,38,1,92,6,1,13820,9620,7380,21,15.0,14.0,10920.0,0.8101377289987451,5460.0,4423.352000333149,0.9721652747984941,5308.022400399778
0,40,1,73,6,1,33860,1106,7380,21,40.0,45.0,93600.0,0.5608722871223157,46800.0,26248.823037324375,0.6730467445467788,31498.587644789248
0,62,2,111,4,1,13820,2014,8370,21,40.0,21.625,44980.0,0.510514969712848,22490.0,11481.481668841952,0.6126179636554177,13777.778002610343
0,53,1,81,6,1,13820,9210,6080,25,40.0,15.0,31200.0,0.7947998581472127,15600.0,12398.877787096517,0.9537598297766552,14878.65334451582
1,37,1,73,6,1,13820,4110,8680,21,40.0,18.5,38480.0,0.6642484778352892,19240.0,12780.140713550963,0.797098173402347,15336.168856261156
0,66,2,81,4,1,33860,800,9380,27,18.0,26.0,24336.0,0.7763663443877812,12168.0,9446.825678510522,0.9316396132653374,11336.190814212625
0,26,1,81,6,1,33860,8740,7290,21,40.0,21.05,43784.0,0.5212905111109943,21892.0,11412.091869241887,0.6255486133331932,13694.510243090266
0,33,1,73,1,1,99998,6260,770,21,40.0,20.0,41600.0,0.5106478170844552,20800.0,10621.474595356667,0.6127773805013462,12745.769514428002
0,31,1,92,6,1,99998,3620,8270,21,40.0,2.0,4160.0,0.6816735850385018,2080.0,1417.8810568800839,0.8180083020462022,1701.4572682561006
0,27,2,92,4,1,99998,3500,8270,21,40.0,17.0,35360.0,0.261223868631616,17680.0,4618.437997406971,0.3134686423579392,5542.125596888365
0,49,1,111,1,1,99998,9130,6170,21,70.0,12.357142857142858,44980.0,0.22265773827910423,22490.0,5007.572533897054,0.2671892859349251,6009.087040676465
0,46,2,111,1,1,99998,9130,6170,21,70.0,13.842857142857143,50388.0,0.23729973822699735,25194.0,5978.529604890971,0.2847596858723968,7174.235525869165
0,24,2,92,4,1,99998,4760,5170,21,40.0,9.0,18720.0,0.3879200653332538,9360.0,3630.9318115192555,0.46550407839990454,4357.118173823106
