O*NET-SOC Code,Title,n_tasks,n_core_tasks,n_supplemental_tasks,avg_importance,avg_relevance,avg_frequency_weighted_mean,total_task_intensity,avg_task_intensity,total_dwa_links,core_task_share
11-1011.00,Chief Executives,31,20,11,3.950967741935484,72.6974193548387,3.003424279238856,89.671215,2.8926198387096775,42,0.6451612903225806
11-1011.03,Chief Sustainability Officers,18,18,0,3.757222222222222,96.50277777777778,2.971248153707457,65.431599,3.6350888333333335,27,1.0
11-1021.00,General and Operations Managers,17,9,8,3.6958823529411764,69.39117647058823,3.7712971724846662,44.213885,2.600816764705882,28,0.5294117647058824
11-1031.00,Legislators,30,0,0,,,,0.0,,34,0.0
11-2011.00,Advertising and Promotions Managers,30,13,8,3.691904761904762,72.79380952380953,3.6004132860905136,56.705777,2.700275095238095,39,0.43333333333333335
11-2021.00,Marketing Managers,20,12,8,3.4295,73.021,2.8820029382737293,51.227759,2.56138795,27,0.6
11-2022.00,Sales Managers,17,15,2,3.7294117647058824,87.11470588235295,2.9312246883511883,56.062857,3.2978151176470587,19,0.8823529411764706
11-2032.00,Public Relations Managers,20,0,0,,,,0.0,,27,0.0
11-2033.00,Fundraising Managers,16,14,2,3.741875,82.004375,2.992629822189173,49.645227,3.1028266875,23,0.875
11-3012.00,Administrative Services Managers,18,5,3,3.655,74.9975,3.241271772884219,21.758423,2.719802875,23,0.2777777777777778
11-3013.00,Facilities Managers,11,10,1,3.921818181818182,82.02363636363636,3.425136808521095,35.695181,3.2450164545454543,12,0.9090909090909091
11-3013.01,Security Managers,28,28,0,3.986785714285714,98.03571428571429,2.9285971387446854,109.5485,3.9124464285714287,42,1.0
11-3021.00,Computer and Information Systems Managers,17,16,1,3.84,89.90588235294118,3.6744419002977127,58.722908000000004,3.454288705882353,27,0.9411764705882353
11-3031.00,Financial Managers,17,6,11,3.904705882352941,57.605294117647055,3.5677553303472385,38.399432,2.2587901176470586,22,0.35294117647058826
